#latitude	longitude	dummy
48.90354609	-121.7669678	0
48.89722676	-114.5846558	0
48.89722676	-114.9719238	0
48.892092	-115.183319	0
48.88594027	-118.5122681	0
48.871464	-122.5846	0
48.86652154	-114.9664307	0
48.85963285	-118.991375	0
48.8520655	-115.2191162	0
48.85183959	-119.0531731	0
48.85003228	-118.9697456	0
48.85	-100.424	0
48.84709527	-117.2927856	0
48.84028	-117.285668	0
48.83760528	-115.8398438	0
48.83263362	-117.2790527	0
48.82924357	-114.2015934	0
48.82133255	-115.7739258	0
48.81952414	-116.1467743	0
48.81048112	-120.7514191	0
48.809241	-119.529854	0
48.808	-94.916	0
48.80686346	-117.303772	0
48.79771	-113.67415	0
48.79736585	-116.8938446	0
48.79	-97.7	0
48.78662	-118.00281	0
48.78153251	-116.8732452	0
48.77700778	-116.8924713	0
48.77308	-122.5202	0
48.771938	-96.812921	0
48.76886223	-115.2822876	0
48.76886223	-115.9469604	0
48.76343114	-120.7500458	0
48.76162064	-116.8691254	0
48.7599	-122.6532	0
48.75981008	-117.4047089	0
48.759682	-122.4869	0
48.759682	-122.4869	0
48.758067	-113.436992	0
48.7571	-116.4718	0
48.7571	-116.4718	0
48.75166175	-121.5856934	0
48.75121	-113.44637	0
48.74991	-118.06461	0
48.74668156	-118.9929199	0
48.74441768	-121.6021729	0
48.74351209	-116.2792969	0
48.74079525	-121.6447449	0
48.72426461	-114.2254972	0
48.71814916	-119.9645233	0
48.71814916	-121.6749573	0
48.71666	-118.13177	0
48.71240109	-121.1334085	0
48.71090026	-114.8236084	0
48.70727542	-120.1348114	0
48.70026	-118.01788	0
48.69911856	-118.1785583	0
48.69799973	-114.1930532	0
48.6955	-113.51873	0
48.69503964	-119.878006	0
48.69458641	-116.8691254	0
48.69067	-121.0992	0
48.688694	-117.518692	0
48.6795	-113.819	0
48.6791	-118.11758	0
48.67826727	-119.8656464	0
48.677423	-116.331406	0
48.676917	-122.31853	0
48.67464008	-115.3125	0
48.6733	-121.26255	0
48.67282638	-121.6928101	0
48.67264	-121.25067	0
48.6704	-116.9425	0
48.66965226	-119.8725128	0
48.6694	-94.5293	0
48.6687	-118.05682	0
48.66194285	-115.8563232	0
48.65786091	-117.4754333	0
48.6547	-122.934	0
48.65287144	-121.6955566	0
48.65151058	-120.5131531	0
48.64924241	-120.4911804	0
48.647709	-118.738007	0
48.64652048	-121.6763306	0
48.64470577	-119.8196411	0
48.644018	-95.545103	0
48.64198359	-120.2968597	0
48.6408493	-117.5169754	0
48.6407	-122.7771	0
48.63804	-112.33778	0
48.63426994	-120.1499176	0
48.63245479	-117.5440979	0
48.63245479	-119.9847794	0
48.63086649	-117.5289917	0
48.63018577	-118.1730652	0
48.624022	-112.451107	0
48.62383195	-117.9093933	0
48.6204	-113.4575	0
48.6170234	-116.8924713	0
48.61611553	-120.2735138	0
48.61262573	-113.8820457	0
48.61248386	-120.1540375	0
48.612	-116.8447	0
48.611895	-117.547075	0
48.608738	-118.061914	0
48.60567378	-115.8782959	0
48.60385761	-120.5330658	0
48.60357382	-113.3845711	0
48.603436	-118.118691	0
48.60191	-118.12256	0
48.598922	-93.401908	0
48.59659225	-115.6613159	0
48.59568401	-118.3666992	0
48.59386747	-120.4465485	0
48.593526	-109.236541	0
48.584375	-117.968298	0
48.58387536	-114.1589355	0
48.58342113	-120.2371216	0
48.58296689	-118.1620789	0
48.5820584	-119.6864319	0
48.57660713	-120.6504822	0
48.57622	-113.02906	0
48.575534	-123.080387	0
48.5747	-113.3876	0
48.57251829	-116.8993378	0
48.56882	-123.16622	0
48.56706599	-117.627182	0
48.56433962	-120.2021027	0
48.56388521	-115.9963989	0
48.5608	-118.15328	0
48.559738	-119.749134	0
48.5597	-112.9954	0
48.5587	-122.33364	0
48.558688	-119.749346	0
48.5575	-119.7486	0
48.55388717	-118.7649536	0
48.55206914	-116.9261169	0
48.551991	-122.334132	0
48.551754	-109.662362	0
48.55	-94.325	0
48.54921	-118.13613	0
48.5486	-114.5772	0
48.54792	-113.98615	0
48.54752376	-114.5956421	0
48.54661463	-121.4044189	0
48.54297797	-118.7319946	0
48.539619	-121.745033	0
48.53888641	-119.1687012	0
48.53661318	-118.7690735	0
48.536425	-121.876706	0
48.53479452	-118.1744385	0
48.53433985	-120.2563477	0
48.52933816	-115.2822876	0
48.5284	-112.9422	0
48.5282	-113.977	0
48.52570025	-116.8505859	0
48.52024291	-121.2574768	0
48.51296553	-116.8897247	0
48.51160091	-117.2577667	0
48.509774	-111.864925	0
48.509102	-109.794005	0
48.50659697	-118.7223816	0
48.50656	-93.37398	0
48.501227	-115.259086	0
48.5	-113.9777	0
48.5	-113.9777	0
48.49704262	-117.713356	0
48.49613259	-116.8917847	0
48.4934024	-120.5351257	0
48.49294735	-118.762207	0
48.492403	-115.916351	0
48.4878	-120.1385	0
48.48598	-113.36693	0
48.48384557	-119.2236328	0
48.48202502	-115.2685547	0
48.477821	-120.18544	0
48.477386	-114.004745	0
48.47701816	-120.4925537	0
